"origin"	"dest"	"count"
2487134	2487134	2
2487134	361058	2
2485926	361058	3
2503826	361058	2
2485845	360630	1
2488500	360630	1
2990440	1566083	1
528293	360630	1
2507480	358619	12
2484979	361058	1
146669	358619	1
2976742	361058	6
3026205	3026204	1
3026204	361058	1
2996944	2996944	28
293397	361058	2
146669	360630	1
293397	293397	1
2974710	359796	1
2988507	2969679	1
3004630	360630	1
2992584	360630	1
3001644	360630	1
3005532	359796	1
2975553	361058	1
3021670	3021670	1
3021670	359796	1
2998011	2998011	1
2998011	359796	1
2797656	7034869	1
7034869	358619	1
3020996	361058	5
6455948	358619	1
2523920	360630	2
260114	361058	5
3029859	361058	1
3034475	360630	2
2998059	361058	1
3036433	3036433	2
294098	360630	1
3030142	3016702	1
3016702	360630	3
361937	360630	5
3026648	361058	1
3003297	361058	1
3015903	361058	1
3015610	360630	1
2995387	361058	1
3028644	359796	1
3025480	3025480	1
3025480	361058	1
2968781	2968781	1
2968781	359796	1
2994675	361058	1
3028431	361058	7
3035260	361058	1
3017690	361058	1
2987259	360630	3
2987259	2987259	2
2991799	3035681	1
3026013	361058	1
2981282	358619	1
3032213	361058	1
2973994	360166	1
360166	361058	2
3038180	359796	1
3026205	361058	1
3570675	935616	1
935616	361058	1
2981447	361058	1
2980291	359796	3
3012715	2995469	1
2992274	2992274	1
2992274	359796	1
3570675	361058	1
2990612	2988507	1
2982652	2982652	2
2982652	360630	3
2985290	358619	1
3019376	3013258	1
3013258	361058	1
2997311	3034802	1
3034802	359710	1
2997569	361055	2
361058	361055	10
276781	276781	4
276781	361058	7
3010527	361058	1
2981462	2995469	1
2981227	361055	1
3029041	361058	1
3022242	3022242	1
3022242	361058	3
3024297	359796	1
2983770	361058	1
3034475	361058	4
3033955	361058	1
3016348	3016348	1
3016348	358619	1
2968703	2968703	1
2968703	359796	1
3037598	361058	1
3030740	361058	1
3028985	359796	1
3021221	3021221	2
3021221	359796	1
3026758	3026758	1
3026758	359796	1
2972339	360630	1
2634895	361058	1
3022611	359796	1
2985947	360630	4
2992469	361058	1
2973385	361055	1
3026827	361058	1
2998731	361058	1
2969958	361055	1
2969958	359796	2
2969958	2969958	1
3035471	361055	1
2976711	360630	1
3020283	3020283	1
3020283	359796	1
2986662	361058	1
3019960	361058	1
3012937	360630	2
2988507	3003796	1
2980325	358619	1
2986655	361058	2
2987562	2987562	1
2987562	361058	1
1573261	358619	1
2660718	360630	1
2980045	361055	1
2981754	2981754	1
